pcf_id,year_of_reporting,product_name,product_detail,company,country,company's_gics_industry_group,company's_gics_industry,company's_sector,product_weight,product's_carbon_footprint,carbon_intensity
10666,2014,CX410DE - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",31.365912,3236.35,103.18
10666,2014,MX410DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",23.019813,1498.6,65.1
10666,2014,MX511DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",25.4012,1678.97,66.1
10666,2014,MX611DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",28.03201,2132.34,76.07
10666,2014,MX710DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",57.1526,2923.11,51.15
10666,2014,MX711DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",57.1526,3127.248,54.72
10666,2014,MX810DFE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",118.07009,2536.12,21.48
10666,2014,MX811DFE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",118.07009,2973.37,25.18
10666,2014,MX812DFE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",118.07009,3335.99,28.25
10666,2014,CX510DE - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",32.6587,3128.864,95.8
10666,2014,CS310DN - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",20.32094,1968.62,96.88
10666,2014,CS410DN - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",20.50238,3143.478,153.32
10666,2014,CS510DE - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",20.91061,3024.602,144.64
10666,2014,M5163 - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",23.700201,2597.12,109.58
10666,2014,MS310DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.807694,1504.51,95.18
10666,2014,MS312DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.807694,1490.36,94.28
10667,2014,Mobile Batteries,"With its high productivity and technological superiority, LG Chem accounts for 20% of the global market share. Mobile batteries are widely used in portable media devices such as laptops, cell phones, and tablets. To align our productivity with the rapid growth of smartphones, ultra-book laptops, and tablets, we are assembling more production lines for lithium-ion polymer batteries. Also, we are providing differentiated solutions, including stepped batteries, based on our unique stack & folding technology. Moreover, our growth is accelerating in the non-IT sectors, such as power tools and e-bikes.",LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,5846.0,5.85
10667,2015,Mobile Batteries,LG Chem's Mobile Batteries is leading the global lithium-ion battery market with excellent technology and productivity.,LG Chem Ltd,South Korea,Chemicals,Not used for 2015 reporting,Chemicals,1000.0,10245.0,10.25
10667,2013,"LG Chem’s automotive batteries are sustaining the undisputed No.1 position in the world based on more than 10 years of R&D capability. LG Chem is equipped with solutions for all types of electrical cars (Hybrid EV, Plugged-in EV, Battery EV) based on strong product development capability and manufacturing competitiveness via mass production experience. This enables LG Chem to supply battery cell, pack and BMS (Battery Management System) to global carmakers such as GM, Ford, Renault, Hyundai-Kia and Volvo. LG Chem expects the increased revenue from its automotive battery business by being awarded next-generation projects from existing customers while strengthening strategic partnerships, and securing new customers. Additionally, LG Chem plans to launch new products to meet customer needs in new applications such as SLI and garden tools.","LG Chem’s automotive batteries are sustaining the undisputed No.1 position in the world based on more than 10 years of R&D capability. LG Chem is equipped with solutions for all types of electrical cars (Hybrid EV, Plugged-in EV, Battery EV) based on strong product development capability and manufacturing competitiveness via mass production experience. This enables LG Chem to supply battery cell, pack and BMS (Battery Management System) to global carmakers such as GM, Ford, Renault, Hyundai-Kia and Volvo. LG Chem expects the increased revenue from its automotive battery business by being awarded next-generation projects from existing customers while strengthening strategic partnerships, and securing new customers. Additionally, LG Chem plans to launch new products to meet customer needs in new applications such as SLI and garden tools.",LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,3197.1,3.2
10667,2014,Automotive Batteries,"LG Chem has maintained the undisputed No.1 position in the global automotive battery market with more than 10 years of R&D capability. We are equipped with solutions for all types of electrical cars (Hybrid EV, Plugged-in EV, and Battery EV) based on our strong product development capability and manufacturing competitiveness. This allows LG Chem to supply battery cells, packs, and BMS (Battery Management System) to global carmakers such as GM, Ford, Renault, Hyundai-Kia, and Volvo. LG Chem expects increased revenue from its automotive battery business with its excellent technology capability and partnership with customers by taking more orders from the existing customers while securing new customers. Meanwhile, we plan to launch new products to meet customer needs in new applications such as Micro-HEV.",LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,3113.0,3.11
10667,2015,Automotive Batteries,"Using its excellent technology and quality competency, LG Chem supplies safe batteries for electric vehicles to top carmakers in Korea, U.S., Europe and China. The batteries, applied to green and highly efficient vehicles like electric and hybrid vehicles, are adding environmental values.",LG Chem Ltd,South Korea,Chemicals,Not used for 2015 reporting,Chemicals,1000.0,6309.0,6.31
10667,2016,Automotive Battery,"Using its excellent technology and quality competency, LG Chem supplies safe batteries for electric vehicles to top carmakers in Korea, U.S., Europe and China. The batteries, applied to green and highly efficient vehicles like electric and hybrid vehicles, are adding environmental values.",LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,4286.0,4.29
10667,2015,ABS (Acrylonitrile Butadiene Styrene),"LG Chem is leading domestic and international ABS markets by producing and supplying a variety of high-functional ABS products that are widely used in such applications as electrics/electronics, auto parts, industrial materials, and household items.",LG Chem Ltd,South Korea,Chemicals,Not used for 2015 reporting,Chemicals,1000.0,876.0,0.88
10667,2016,ABS(Acrylonitrile Butadiene Styrene),"LG Chem is leading domestic and international ABS markets by producing and supplying a variety of high-functional ABS products that are widely used in such applications as electrics/electronics, auto parts, industrial materials, and household items.",LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,396.0,0.4
10667,2016,BPA(Bisphenol-A),LG Chem is leading domestic and international BPA markets by producing and supplying high-quality BPA.,LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,1088.0,1.09
10667,2016,IT&New Application Battery,LG Chem's IT Batteries is leading the global lithium-ion battery market with excellent technology and productivity.,LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,10607.0,10.61
10670,2013,LG-E970,Field not included in 2013 data,LG Electronics,South Korea,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",0.1471,7.0,47.59
10834,2015,"Mouse, M185","Cordless Mouse, with battery in Clamshell packaging.",Logitech International SA,Switzerland,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",0.136,4.32,31.76
1085,2013,White crystalline sugar,Field not included in 2013 data,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",Food Products,Food & Beverage,1000.0,650.0,0.65
1085,2014,Sugar,white crystalline sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",Food Products,Food & Beverage,1000.0,650.0,0.65
1085,2016,Sugar,White crystalline solid,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",Beverages,Food & Beverage,1000.0,650.0,0.65
11152,2013,grinding media cast.,Field not included in 2013 data,MAGOTTEAUX,Brazil,Materials,Metals & Mining,Construction & commercial materials,1500.0,1750.0,1.17
11632,2016,IC chips of Smartphone,"The smartphone has already become an indispensable part of our daily life. We cannot be without our smartphones for all sorts of activities—whether communicating with our friends and family or enjoying music, photography, or filming videos, or even exploring the vast information available online. Hence, we have developed this innovative product due to users' needs for longer battery life and integrated user experience, due to their high dependence on smartphones. Helio is the flagship brand of the MediaTek smartphone processor series; it offers top-notch processing capability, lasting battery life, and outstanding multimedia experience. Helio includes two major series: the Helio X Series is for top performance, and the Helio P Series for technology meets the latest trends. The Helio X Series is equipped with powerful, outstanding calculation capability and uncompromising multimedia features, whereas the Helio P Series offers optimized energy consumption management and streamlined printed circuit board (PCB) size while maintaining outstanding specifications to realize lightweight and fashionable cell phone designs.",MediaTek,Taiwan,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,"Computer, IT & telecom",0.1,1.719,17.19
1198,2013,1 DVD Software Package,Field not included in 2013 data,"Autodesk, Inc.",USA,Software & Services,Software,"Computer, IT & telecom",0.0907185,1.28,14.11
1198,2014,DVD software,"The products that are delivered on a single DVD, such as AutoCAD.","Autodesk, Inc.",USA,Software & Services,Software,"Computer, IT & telecom",0.0907185,1.28,14.11
1198,2015,DVD software (1 DVD),"The products that are delivered on a single DVD, such as AutoCAD.","Autodesk, Inc.",USA,Software & Services,Not used for 2015 reporting,"Computer, IT & telecom",0.0907185,1.28,14.11
1198,2013,USB Software,Field not included in 2013 data,"Autodesk, Inc.",USA,Software & Services,Software,"Computer, IT & telecom",0.0085,2.285,268.82
1198,2014,USB software,"The products that are delivered on a USB, such as many of our suites, which include multiple pieces of software on one USB.","Autodesk, Inc.",USA,Software & Services,Software,"Computer, IT & telecom",0.0085,2.29,269.41
1198,2015,USB software,"The products that are delivered on a USB, such as many of our suites, which include multiple pieces of software on one USB.","Autodesk, Inc.",USA,Software & Services,Not used for 2015 reporting,"Computer, IT & telecom",0.0085,2.29,269.41
1198,2015,DVD software (2 DVDs),"The products that are delivered on a 2 DVDs, such as a few of our suites.","Autodesk, Inc.",USA,Software & Services,Not used for 2015 reporting,"Computer, IT & telecom",0.181437,1.67,9.2
12084,2016,Filtro 26 WS,Plug wrap paper of 26 gr/m2 basis weight.,Miquel Y Costas,Spain,Materials,Paper & Forest Products,Construction & commercial materials,1.0,3.0,3.0
12117,2013,Dell Laptop,Field not included in 2013 data,MITIE Group,United Kingdom,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",2.32,320.0,137.93
12117,2013,"Kimberley-Clark toilet tissue, 10,000 sheets",Field not included in 2013 data,MITIE Group,United Kingdom,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",4.2,20.0,4.76
12134,2017,Paraformaldehyde,Chemicals,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,500.0,200.0,0.4
12134,2017,Methacrylic acid,Chemicals,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,20.0,71.0,3.55
12134,2017,Hydrogen peroxide,Chemicals,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,20.0,4.0,0.2
12134,2017,Amines,Chemicals,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,9.0,8.0,0.89
12134,2017,Peroxides,Chemicals,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,25.0,42.0,1.68
12134,2017,Super-pure hydrogen peroxide,cleaning chemical,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,17736.0,6469.0,0.36
12134,2017,ELM,cleaning chemical,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,160.0,139.0,0.87
12134,2017,TCDE,Chemicals,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,Chemicals,Chemicals,12000.0,99075.0,8.26
12289,2017,Zinc Oxide,Rubber Vulcanization Acceleration Aid,"Mitsui Mining & Smelting Co., Ltd.",Japan,Capital Goods,Aerospace & Defense,Comm. equipm. & capital goods,20.0,5.6724,0.28
12348,2013,500ml Coors Light brewed in the UK (steal can) CO2e expressed in CO2e/ hl,500ml Coors Light brewed in the UK (steal can) CO2e expressed in CO2e/ hl,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,100.0,31.37,0.31
12348,2013,"Carling brewed in the UK, 24 440ml cans in 4 packs",Field not included in 2013 data,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,12.029,3.02,0.25
12348,2014,"Carling brewed in the UK, 24 440ml cans in 4 packs","Carling brewed in the UK, 24 440ml cans in 4 packs.",Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,12.029,3.07,0.26
12348,2013,"Carling brewed in the UK, 24 568ml cans in 4 packs",Field not included in 2013 data,Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,15.53,2.06,0.13
12348,2014,"Carling brewed in the UK, 24 568ml cans in 4 packs","Carling brewed in the UK, 24 568ml cans in 4 packs.",Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,15.53,2.0519,0.13
12348,2014,"Coors Light brewed in the UK, 24 500ml cans in 4 packs","Coors light brewed in the UK, sold in 24 500ml steel cans in 4 packs.",Molson Coors Brewing Company,USA,"Food, Beverage & Tobacco",Beverages,Food & Beverage,13.67,3.732,0.27
12903,2015,Server,IT equipment,NEC Corporation,Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",19.28,1600.0,82.99
12903,2015,Broadband Routers,IT equipment,NEC Corporation,Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",0.816,56.0,68.63
12903,2015,Mobile Network Equipment,IT equipment,NEC Corporation,Japan,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",19.28,10273.0,532.83
12942,2013,"1 dl cup of spray dried soluble Nescafé coffee ready to be drunk, at the consumer’s home","1 dl cup of spray dried soluble Nescafé coffee ready to be drunk, at the consumer’s home",Nestlé,Switzerland,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.1,0.07,0.7
12942,2014,Nescafé soluble coffee,"1 dl cup of spray dried soluble Nescafé coffee ready to be drunk, at the consumer’s home",Nestlé,Switzerland,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.1,0.032,0.32
12942,2015,Nescafé soluble coffee,"1 dl cup of spray dried soluble Nescafé coffee ready to be drunk, at the consumer’s home",Nestlé,Switzerland,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.1,0.032,0.32
12942,2016,Nescafé soluble coffee,"120 ml cup of spray dried soluble Nescafé coffee ready to be drunk, at the consumer’s home",Nestlé,Switzerland,"Food, Beverage & Tobacco",Beverages,Food & Beverage,0.12,0.052,0.43
12942,2013,"EcoShape  bottle of water (0.5 L): Serving of 500 ml of hydration to the consumer. The study examines the extraction and processing of all upstream raw materials to produce the products and packaging components; the manufacturing process; distribution logistics; product use and packaging disposal. The work has been conducted using the Ecoinvent database and SimaPro software.  Climate change impacts are measured in kg CO2 equivalents, following the IPCC’s most recent methodology).  Scenario evaluations have been used to examine the importance of several variables in the product comparison. These include a range of possible consumer behaviours regarding the use of the products, such as conditions of refrigeration, washing of glasses, and disposal routes for packaging, among others.","EcoShape  bottle of water (0.5 L): Serving of 500 ml of hydration to the consumer. The study examines the extraction and processing of all upstream raw materials to produce the products and packaging components; the manufacturing process; distribution logistics; product use and packaging disposal. The work has been conducted using the Ecoinvent database and SimaPro software.  Climate change impacts are measured in kg CO2 equivalents, following the IPCC’s most recent methodology).  Scenario evaluations have been used to examine the importance of several variables in the product comparison. These include a range of possible consumer behaviours regarding the use of the products, such as conditions of refrigeration, washing of glasses, and disposal routes for packaging, among others.",Nestlé,Switzerland,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.54167,0.1405,0.26
12942,2014,EcoShape  bottle of water (0.5 L),"Serving of 500 ml of hydration to the consumer. The study examined the extraction and processing of all upstream raw materials to produce the products and packaging components; the manufacturing process; distribution logistics; product use and packaging disposal. The work has been conducted using the Ecoinvent database and SimaPro software.  Climate change impacts are measured in kg CO2 equivalents, following the IPCC’s most recent methodology).  Scenario evaluations have been used to examine the importance of several variables in the product comparison. These include a range of possible consumer behaviours regarding the use of the products, such as conditions of refrigeration, washing of glasses, and disposal routes for packaging, among others.",Nestlé,Switzerland,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.54167,0.1405,0.26
12942,2015,EcoShape bottle of water (0.5 L),"Serving of 500 ml of hydration to the consumer. The study examined the extraction and processing of all upstream raw materials to produce the products and packaging components; the manufacturing process; distribution logistics; product use and packaging disposal. The work has been conducted using the Ecoinvent database and SimaPro software. Climate change impacts are measured in kg CO2 equivalents, following the IPCC’s most recent methodology). Scenario evaluations have been used to examine the importance of several variables in the product comparison. These include a range of possible consumer behaviours regarding the use of the products, such as conditions of refrigeration, washing of glasses, and disposal routes for packaging, among others.",Nestlé,Switzerland,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.54167,0.1405,0.26
12942,2016,EcoShape bottle of water (0.5 L),"Serving of 500 ml of hydration to the consumer. The study examined the extraction and processing of all upstream raw materials to produce the products and packaging components; the manufacturing process; distribution logistics; product use and packaging disposal. The work has been conducted using the Ecoinvent database and SimaPro software. Climate change impacts are measured in kg CO2 equivalents, following the IPCC’s most recent methodology). Scenario evaluations have been used to examine the importance of several variables in the product comparison. These include a range of possible consumer behaviours regarding the use of the products, such as conditions of refrigeration, washing of glasses, and disposal routes for packaging, among others.",Nestlé,Switzerland,"Food, Beverage & Tobacco",Beverages,Food & Beverage,0.54167,0.1405,0.26
